"filename", "language", "C++", "GLSL", "Shell Script", "CMake", "Markdown", "comment", "blank", "total"
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/CMakeLists.txt", "CMake", 0, 0, 0, 51, 0, 2, 8, 61
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/README.md", "Markdown", 0, 0, 0, 0, 4, 0, 2, 6
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/assets/shaders/fs.glsl", "GLSL", 0, 10, 0, 0, 0, 4, 8, 22
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/assets/shaders/vs.glsl", "GLSL", 0, 13, 0, 0, 0, 1, 7, 21
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/run.sh", "Shell Script", 0, 0, 8, 0, 0, 0, 1, 9
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/Engine.cpp", "C++", 72, 0, 0, 0, 0, 21, 28, 121
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/Engine.h", "C++", 28, 0, 0, 0, 0, 2, 11, 41
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/GameObject.cpp", "C++", 52, 0, 0, 0, 0, 0, 13, 65
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/GameObject.h", "C++", 48, 0, 0, 0, 0, 1, 12, 61
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/Scene.cpp", "C++", 54, 0, 0, 0, 0, 10, 18, 82
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/Scene.h", "C++", 27, 0, 0, 0, 0, 1, 11, 39
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/Window.cpp", "C++", 23, 0, 0, 0, 0, 0, 6, 29
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/Window.h", "C++", 20, 0, 0, 0, 0, 0, 4, 24
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/components/Camera.cpp", "C++", 57, 0, 0, 0, 0, 9, 15, 81
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/components/Camera.h", "C++", 17, 0, 0, 0, 0, 0, 5, 22
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/components/Component.cpp", "C++", 17, 0, 0, 0, 0, 2, 6, 25
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/components/Component.h", "C++", 14, 0, 0, 0, 0, 1, 5, 20
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/components/Lifetime.cpp", "C++", 13, 0, 0, 0, 0, 0, 6, 19
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/components/Lifetime.h", "C++", 17, 0, 0, 0, 0, 1, 5, 23
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/components/Physics.cpp", "C++", 14, 0, 0, 0, 0, 2, 4, 20
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/components/Physics.h", "C++", 11, 0, 0, 0, 0, 0, 4, 15
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/components/renderers/AnimatedSpriteRenderer.cpp", "C++", 9, 0, 0, 0, 0, 0, 7, 16
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/components/renderers/AnimatedSpriteRenderer.h", "C++", 11, 0, 0, 0, 0, 0, 5, 16
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/components/renderers/RendererComponent.cpp", "C++", 21, 0, 0, 0, 0, 0, 12, 33
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/components/renderers/RendererComponent.h", "C++", 15, 0, 0, 0, 0, 0, 6, 21
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/components/renderers/ShapeRenderer.cpp", "C++", 8, 0, 0, 0, 0, 3, 6, 17
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/components/renderers/ShapeRenderer.h", "C++", 15, 0, 0, 0, 0, 0, 4, 19
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/components/renderers/SpriteRenderer.cpp", "C++", 14, 0, 0, 0, 0, 5, 5, 24
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/components/renderers/SpriteRenderer.h", "C++", 13, 0, 0, 0, 0, 0, 3, 16
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/managers/AnimationManager.cpp", "C++", 16, 0, 0, 0, 0, 0, 4, 20
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/managers/AnimationManager.h", "C++", 12, 0, 0, 0, 0, 0, 4, 16
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/managers/InputManager.cpp", "C++", 44, 0, 0, 0, 0, 0, 7, 51
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/managers/InputManager.h", "C++", 18, 0, 0, 0, 0, 0, 6, 24
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/managers/Managers.h", "C++", 12, 0, 0, 0, 0, 2, 3, 17
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/managers/ShaderManager.cpp", "C++", 19, 0, 0, 0, 0, 0, 5, 24
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/managers/ShaderManager.h", "C++", 12, 0, 0, 0, 0, 0, 4, 16
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/managers/SpriteManager.cpp", "C++", 62, 0, 0, 0, 0, 15, 8, 85
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/managers/SpriteManager.h", "C++", 17, 0, 0, 0, 0, 1, 6, 24
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/utils/Animation.cpp", "C++", 39, 0, 0, 0, 0, 0, 13, 52
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/utils/Animation.h", "C++", 26, 0, 0, 0, 0, 0, 6, 32
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/utils/AnimationController.cpp", "C++", 1, 0, 0, 0, 0, 0, 1, 2
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/utils/AnimationController.h", "C++", 10, 0, 0, 0, 0, 3, 4, 17
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/utils/Graphics.cpp", "C++", 14, 0, 0, 0, 0, 0, 4, 18
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/utils/Graphics.h", "C++", 12, 0, 0, 0, 0, 0, 4, 16
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/utils/Math.cpp", "C++", 10, 0, 0, 0, 0, 0, 3, 13
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/utils/Math.h", "C++", 59, 0, 0, 0, 0, 17, 26, 102
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/utils/Mesh.cpp", "C++", 51, 0, 0, 0, 0, 9, 12, 72
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/utils/Mesh.h", "C++", 14, 0, 0, 0, 0, 0, 3, 17
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/utils/Shader.cpp", "C++", 74, 0, 0, 0, 0, 3, 15, 92
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/utils/Shader.h", "C++", 19, 0, 0, 0, 0, 0, 5, 24
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/utils/Sprite.h", "C++", 3, 0, 0, 0, 0, 0, 2, 5
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/utils/Texture.cpp", "C++", 33, 0, 0, 0, 0, 7, 9, 49
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/utils/Texture.h", "C++", 15, 0, 0, 0, 0, 1, 5, 21
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/utils/io.cpp", "C++", 9, 0, 0, 0, 0, 1, 2, 12
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/utils/io.h", "C++", 3, 0, 0, 0, 0, 0, 2, 5
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/utils/meshes.cpp", "C++", 19, 0, 0, 0, 0, 0, 6, 25
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/engine/utils/meshes.h", "C++", 9, 0, 0, 0, 0, 0, 5, 14
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/game/components/Shrink.cpp", "C++", 10, 0, 0, 0, 0, 0, 3, 13
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/game/components/Shrink.h", "C++", 10, 0, 0, 0, 0, 0, 2, 12
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/game/components/Spawner.cpp", "C++", 33, 0, 0, 0, 0, 0, 10, 43
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/game/components/Spawner.h", "C++", 9, 0, 0, 0, 0, 0, 2, 11
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/game/prefabs.cpp", "C++", 36, 0, 0, 0, 0, 0, 6, 42
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/game/prefabs.h", "C++", 7, 0, 0, 0, 0, 0, 2, 9
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/game/scenes.cpp", "C++", 6, 0, 0, 0, 0, 0, 2, 8
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/game/scenes.h", "C++", 7, 0, 0, 0, 0, 0, 2, 9
"/Users/lukedigiovanna/Programming/cpp/dungeon-crawler/src/main.cpp", "C++", 26, 0, 0, 0, 0, 12, 14, 52
"Total", "-", 1366, 23, 8, 51, 4, 136, 444, 2032